Series Name,"Series Code","Country Name","Country Code","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]"
Agricultural land (% of land area),"AG.LND.AGRI.ZS","Argentina","ARG","46.6475925296617","46.682305997391","46.7170194651203","46.7528291476199","46.7882734251961","46.8237177027723","46.8577003606547","46.8924138283839","46.9223770321081","46.9581867146078","46.9932655872605","47.031267699301","47.8254753004542","49.0903244430315","50.3518849412977","51.5600963207378","52.6303673415696","52.7136796641198","52.5423047550143","53.8902835176801","54.1826074564529","54.5381464469852","54.5180491761946","",""
Agricultural land (% of land area),"AG.LND.AGRI.ZS","Australia","AUS","60.2650247972612","60.6820873957018","59.9151295835882","61.0624422373508","60.3137081342827","60.557515327441","60.1642737201099","60.370722309725","59.0616091535087","59.2921390729339","59.3181729429988","58.1856995951733","57.2094294677375","57.2888327714356","57.9447561277222","56.6139046900017","55.3804199263241","54.3181078583237","53.2430391939914","51.8828996524478","53.3268161878604","52.7802871535868","51.6271559298648","",""
Agricultural land (% of land area),"AG.LND.AGRI.ZS","Brazil","BRA","29.305682843312","29.5172131598657","29.8467123068051","30.080616022225","30.9245836992441","30.990028882024","31.0554740648039","31.1207996037396","31.1982091709399","31.2756187381403","31.5219654133575","31.8094695709811","32.1206632097572","32.5589186110785","32.5948835506464","32.6369263974999","32.4998145520415","32.7225913899504","32.7273771437186","32.7181645677148","32.9466843101456","32.9746809696894","33.3576728793727","",""
Agricultural land (% of land area),"AG.LND.AGRI.ZS","China","CHN","54.4701089127367","54.7827337363193","55.1991052645594","55.6901445956382","55.6902039146848","55.6944173715386","55.7435214092539","55.7808021320313","55.7222181390954","55.6019138878296","55.3795417237072","55.2323417623281","54.9767049909297","55.0086611269185","55.1151817857369","54.7636794799913","54.8100176872893","54.8079938724853","54.8084187711588","54.8080992214598","54.8084187711588","54.8084187711588","54.8084187711588","",""
Agricultural land (% of land area),"AG.LND.AGRI.ZS","France","FRA","55.673471325831","55.4897491809207","55.3199066413912","55.1621174433767","55.0622208099115","54.963785187539","54.860236026342","54.7513906999339","54.6584338691592","54.5327869151847","54.3815722670874","54.2298097398305","54.1123809732525","54.0395130450028","53.9877199775","53.6812673041661","53.4701473456596","53.0976683705989","52.9988658714983","52.7660134013445","52.7406096534242","52.6819660275293","52.549232317366","",""
Agricultural land (% of land area),"AG.LND.AGRI.ZS","Germany","DEU","49.0820038381119","48.5521152579269","49.1578826764436","49.5774970639627","49.6791750214838","49.6634105817984","49.6404526572124","49.776517105037","49.1489483638031","48.9124516406362","48.8220120378332","48.6355558103537","48.7400017201342","48.7799982796686","48.8330083725198","48.5948612066988","48.6133019760805","48.5356968706078","48.4380826711798","47.9100324181656","47.9659169153087","47.8108681930338","47.9055488609629","",""
Agricultural land (% of land area),"AG.LND.AGRI.ZS","India","IND","61.0744688365022","60.9799575540076","61.0058556634457","60.9752488068371","60.8588754839079","60.7391387701425","60.8709836909178","60.8349954089715","60.8844372542623","60.8689656564162","60.7048321836142","60.7293849367178","60.6247834817149","60.6671622062499","60.5834137744308","60.5094191760365","60.4132261981239","60.4593046525785","60.5639061075814","60.3974182611942","60.4300431523044","60.4206256579633","60.6352099933069","",""
Agricultural land (% of land area),"AG.LND.AGRI.ZS","Indonesia","IDN","22.9215542319645","22.8260569561209","23.1931418603753","23.1683015285084","23.7241729549507","23.7186528812025","24.027225003726","24.2204275849125","25.3244423345496","26.0420519218137","26.3307517788438","26.5962673261315","28.1556881599938","29.4584255645655","28.6193743548414","28.4283798031542","29.256390865382","29.8083982402005","30.6916100399101","30.6916100399101","31.1884166772468","31.1884166772468","31.4644203646561","",""
Agricultural land (% of land area),"AG.LND.AGRI.ZS","Italy","ITA","54.5850192104995","54.3266124919248","54.0954064805685","53.3881880928904","52.1335554724423","52.1879568868791","52.1743565332699","52.6469688211894","53.7179966679134","53.167182346741","52.7081704124307","51.9295501683044","50.6799483239274","50.5983545250561","50.0985925069695","48.286530223703","48.1471408172979","49.1507445434147","47.5365472224111","48.7108179778337","47.0952607601822","46.6750526959951","46.338478275651","",""
Agricultural land (% of land area),"AG.LND.AGRI.ZS","Japan","JPN","15.5074053757543","15.4004388370817","15.2879868348875","15.1755348326934","14.9286889742183","14.8120713305898","14.6886145404664","14.5679012345679","14.4609053497942","14.4252400548697","13.1495198902606","13.0672153635117","12.9931412894376","12.9327846364883","12.8724279835391","12.8148148148148","12.7572016460905","12.6968449931413","12.6447187928669","12.5990947743794","12.5111437231693","12.4780557384244","12.445139346061","",""
Agricultural land (% of land area),"AG.LND.AGRI.ZS","Korea, Rep.","KOR","22.4030686294837","22.143893842007","21.9572879950238","21.7292141820444","21.2315985900892","20.8169189301265","20.5577441426498","20.4126062616629","20.2571013891769","20.4540742276591","20.1054372544966","19.8264283500362","19.6487603305785","19.5517455071266","19.4217862674239","19.1783649876135","18.9847296739579","18.7261671647944","18.486096807415","18.2351126195619","18.0612979533066","18.366718027735","18.1468409496645","",""
Agricultural land (% of land area),"AG.LND.AGRI.ZS","Mexico","MEX","54.6073715887754","54.6192031688058","54.620746418375","54.6258905836055","54.6284626662208","54.6876205663726","54.6876205663726","54.6953368142185","54.6958512307415","54.6979088968338","54.8110805319067","54.8110805319067","54.8110805319067","54.8213688623679","54.8213688623679","54.8213688623679","54.8882430103655","54.8908150929808","54.8908150929808","54.8908150929808","54.8908150929808","54.8908150929808","54.8908150929808","",""
